"","samples","group","meta"
"1","WIBR3_ATP13A2_FS_5_6","ATP13A2",NA
"2","WIBR3_ATP13A2_FS_Homo_12_6","ATP13A2",NA
"3","WIBR3_ATP13A2_FS_Homo_2_5","ATP13A2",NA
"4","WIBR3_ATP13A2_FS_Homo_6_1","ATP13A2",NA
"5","WIBR3_DJ1_X1-5DEL_Het_2036","DJ1",NA
"6","WIBR3_DJ1_X1-5DEL_Het_2038","DJ1",NA
"7","WIBR3_DJ1_X1-5DEL_Het_2046","DJ1",NA
"8","WIBR3_DJ1_X1-5DEL_Het_2051","DJ1",NA
"9","WIBR3_DJ1_X1-5DEL_Het_2067","DJ1",NA
"10","WIBR3_DJ1_X1_5DEL_2860","DJ1",NA
"11","WIBR3_DJ1_X1_5DEL_2872","DJ1",NA
"12","WIBR3_DJ1_X1_5DEL_2876","DJ1",NA
"13","WIBR3_DNAJC6_FS_FS_H10_1","DNAJC6",NA
"14","WIBR3_DNAJC6_c801_2_A_G_FS_FS_G12_2","DNAJC6",NA
"15","WIBR3_EWT_S1","SNCA-A30P",NA
"16","WIBR3_EWT_S2","SNCA-A30P",NA
"17","WIBR3_EWT_S3","SNCA-A30P",NA
"18","WIBR3_EWT_S4","GBA1",NA
"19","WIBR3_EWT_S5","GBA1",NA
"20","WIBR3_EWT_S6","EWT-OTHERS","OTHERS"
"21","WIBR3_EWT_S7","EWT-OTHERS","OTHERS"
"22","WIBR3_EWT_S8","EWT-OTHERS","OTHERS"
"23","WIBR3_FBXO7_FS_A3_1","FBXO7",NA
"24","WIBR3_FBXO7_R498X_A7_1","FBXO7",NA
"25","WIBR3_GBA1_IVS2_E10B","GBA1",NA
"26","WIBR3_GBA1_IVS2_G2E","GBA1",NA
"27","WIBR3_GBA1_IVS2_Het_10C2F","GBA1",NA
"28","WIBR3_GBA1_IVS2_Het_10D11A","GBA1",NA
"29","WIBR3_GBA1_IVS2_Het_3C3I","GBA1",NA
"30","WIBR3_GBA1_IVS2_Het_3C4B","GBA1",NA
"31","WIBR3_LRRK2_G2019S_2093_Het","LRRK2",NA
"32","WIBR3_LRRK2_G2019S_216_Het","LRRK2",NA
"33","WIBR3_LRRK2_G2019S_5_Het","LRRK2",NA
"34","WIBR3_LRRK2_G2019S_65_Homo","LRRK2",NA
"35","WIBR3_LRRK2_G2019S_6_Het","LRRK2",NA
"36","WIBR3_PINK1_Q129X_C4_1","PINK1",NA
"37","WIBR3_PINK1_Q129X_E2_2","PINK1",NA
"38","WIBR3_PINK1_Q129X_E7_1","PINK1",NA
"39","WIBR3_PRKN_X3DEL_B1_3","PRKN",NA
"40","WIBR3_PRKN_X3DEL_F2_5","PRKN",NA
"41","WIBR3_PRKN_X3DEL_H2_2","PRKN",NA
"42","WIBR3_S1","S_Group",NA
"43","WIBR3_S2","S_Group",NA
"44","WIBR3_S3","S_Group",NA
"45","WIBR3_SNCA_A30P_A2_3","SNCA-A30P",NA
"46","WIBR3_SNCA_A30P_E1_3","SNCA-A30P",NA
"47","WIBR3_SNCA_A30P_F12_1","SNCA-A30P",NA
"48","WIBR3_SNCA_A30P_Homo_C8_2","SNCA-A30P",NA
"49","WIBR3_SNCA_A53T_1","SNCA-A53T",NA
"50","WIBR3_SNCA_A53T_2","SNCA-A53T",NA
"51","WIBR3_SNCA_A53T_4","SNCA-A53T",NA
"52","WIBR3_SYNJ1_R258Q_FS_E4_1","SYNJ1",NA
"53","WIBR3_SYNJ1_R258Q_Homo_A5_1","SYNJ1",NA
"54","WIBR3_VPS13C_A444P_Het_E12_1","VPS13C-A444P",NA
"55","WIBR3_VPS13C_A444P_Homo_C8_2","VPS13C-A444P",NA
"56","WIBR3_VPS13C_FS_Homo_E10_2","VPS13C-W395C",NA
"57","WIBR3_VPS13C_FS_Homo_H3_1","VPS13C-A444P",NA
"58","WIBR3_VPS13C_W395C_Homo_C11_3","VPS13C-W395C",NA
"59","WIBR3_VPS13C_W395C_Homo_C3_1","VPS13C-W395C",NA
"60","WIBR3_VPS13C_W395C_Homo_C6_2","VPS13C-W395C",NA
"61","WIBR3_parental","parental",NA
